"country","continent","year","lifeExp","pop","gdpPercap"
"Afghanistan","Asia",1972,36.088,13079460,739.9811058
"Afghanistan","Asia",1977,38.438,14880372,786.11336
"Afghanistan","Asia",1982,39.854,12881816,978.0114388
"Afghanistan","Asia",1987,40.822,13867957,852.3959448
"Albania","Europe",1972,67.69,2263554,3313.422188
"Albania","Europe",1977,68.93,2509048,3533.00391
"Albania","Europe",1982,70.42,2780097,3630.880722
"Albania","Europe",1987,72,3075321,3738.932735
"Algeria","Africa",1972,54.518,14760787,4182.663766
"Algeria","Africa",1977,58.014,17152804,4910.416756
"Algeria","Africa",1982,61.368,20033753,5745.160213
"Algeria","Africa",1987,65.799,23254956,5681.358539
"Angola","Africa",1972,37.928,5894858,5473.288005
"Angola","Africa",1977,39.483,6162675,3008.647355
"Angola","Africa",1982,39.942,7016384,2756.953672
"Angola","Africa",1987,39.906,7874230,2430.208311
"Argentina","Americas",1972,67.065,24779799,9443.038526
"Argentina","Americas",1977,68.481,26983828,10079.02674
"Argentina","Americas",1982,69.942,29341374,8997.897412
"Argentina","Americas",1987,70.774,31620918,9139.671389
"Australia","Oceania",1972,71.93,13177000,16788.62948
"Australia","Oceania",1977,73.49,14074100,18334.19751
"Australia","Oceania",1982,74.74,15184200,19477.00928
"Australia","Oceania",1987,76.32,16257249,21888.88903
"Austria","Europe",1972,70.63,7544201,16661.6256
"Austria","Europe",1977,72.17,7568430,19749.4223
"Austria","Europe",1982,73.18,7574613,21597.08362
"Austria","Europe",1987,74.94,7578903,23687.82607
"Bahrain","Asia",1972,63.3,230800,18268.65839
"Bahrain","Asia",1977,65.593,297410,19340.10196
"Bahrain","Asia",1982,69.052,377967,19211.14731
"Bahrain","Asia",1987,70.75,454612,18524.02406
"Bangladesh","Asia",1972,45.252,70759295,630.2336265
"Bangladesh","Asia",1977,46.923,80428306,659.8772322
"Bangladesh","Asia",1982,50.009,93074406,676.9818656
"Bangladesh","Asia",1987,52.819,103764241,751.9794035
"Belgium","Europe",1972,71.44,9709100,16672.14356
"Belgium","Europe",1977,72.8,9821800,19117.97448
"Belgium","Europe",1982,73.93,9856303,20979.84589
"Belgium","Europe",1987,75.35,9870200,22525.56308
"Benin","Africa",1972,47.014,2761407,1085.796879
"Benin","Africa",1977,49.19,3168267,1029.161251
"Benin","Africa",1982,50.904,3641603,1277.897616
"Benin","Africa",1987,52.337,4243788,1225.85601
"Bolivia","Americas",1972,46.714,4565872,2980.331339
"Bolivia","Americas",1977,50.023,5079716,3548.097832
"Bolivia","Americas",1982,53.859,5642224,3156.510452
"Bolivia","Americas",1987,57.251,6156369,2753.69149
"Bosnia and Herzegovina","Europe",1972,67.45,3819000,2860.16975
"Bosnia and Herzegovina","Europe",1977,69.86,4086000,3528.481305
"Bosnia and Herzegovina","Europe",1982,70.69,4172693,4126.613157
"Bosnia and Herzegovina","Europe",1987,71.14,4338977,4314.114757
"Botswana","Africa",1972,56.024,619351,2263.611114
"Botswana","Africa",1977,59.319,781472,3214.857818
"Botswana","Africa",1982,61.484,970347,4551.14215
"Botswana","Africa",1987,63.622,1151184,6205.88385
"Brazil","Americas",1972,59.504,100840058,4985.711467
"Brazil","Americas",1977,61.489,114313951,6660.118654
"Brazil","Americas",1982,63.336,128962939,7030.835878
"Brazil","Americas",1987,65.205,142938076,7807.095818
"Bulgaria","Europe",1972,70.9,8576200,6597.494398
"Bulgaria","Europe",1977,70.81,8797022,7612.240438
"Bulgaria","Europe",1982,71.08,8892098,8224.191647
"Bulgaria","Europe",1987,71.34,8971958,8239.854824
"Burkina Faso","Africa",1972,43.591,5433886,854.7359763
"Burkina Faso","Africa",1977,46.137,5889574,743.3870368
"Burkina Faso","Africa",1982,48.122,6634596,807.1985855
"Burkina Faso","Africa",1987,49.557,7586551,912.0631417
"Burundi","Africa",1972,44.057,3529983,464.0995039
"Burundi","Africa",1977,45.91,3834415,556.1032651
"Burundi","Africa",1982,47.471,4580410,559.603231
"Burundi","Africa",1987,48.211,5126023,621.8188189
"Cambodia","Asia",1972,40.317,7450606,421.6240257
"Cambodia","Asia",1977,31.22,6978607,524.9721832
"Cambodia","Asia",1982,50.957,7272485,624.4754784
"Cambodia","Asia",1987,53.914,8371791,683.8955732
"Cameroon","Africa",1972,47.049,7021028,1684.146528
"Cameroon","Africa",1977,49.355,7959865,1783.432873
"Cameroon","Africa",1982,52.961,9250831,2367.983282
"Cameroon","Africa",1987,54.985,10780667,2602.664206
"Canada","Americas",1972,72.88,22284500,18970.57086
"Canada","Americas",1977,74.21,23796400,22090.88306
"Canada","Americas",1982,75.76,25201900,22898.79214
"Canada","Americas",1987,76.86,26549700,26626.51503
"Central African Republic","Africa",1972,43.457,1927260,1070.013275
"Central African Republic","Africa",1977,46.775,2167533,1109.374338
"Central African Republic","Africa",1982,48.295,2476971,956.7529907
"Central African Republic","Africa",1987,50.485,2840009,844.8763504
"Chad","Africa",1972,45.569,3899068,1104.103987
"Chad","Africa",1977,47.383,4388260,1133.98495
"Chad","Africa",1982,49.517,4875118,797.9081006
"Chad","Africa",1987,51.051,5498955,952.386129
"Chile","Americas",1972,63.441,9717524,5494.024437
